"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-19","0.00",,,"53","63","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-20","0.00",,,"57","71","47"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-21","0.00",,,"59","76","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-22","0.00",,,"62","77","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-23","0.00",,,"63","77","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-24","0.00",,,"59","66","52"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-25","0.00",,,"57","65","52"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-26","0.00",,,"56","62","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-27","0.00",,,"59","66","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-28","0.00",,,"58","65","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-29","0.00",,,"58","64","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-30","0.00",,,"57","63","51"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-01","0.00",,,"56","67","48"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-02","0.00",,,"58","66","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-03","0.00",,,"57","64","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-04","0.00",,,"59","72","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-05","0.00",,,"58","65","52"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-06","0.00",,,"57","64","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-07","0.00",,,"60","73","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-08","0.00",,,"59","68","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-09","0.00",,,"60","67","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-10","0.00",,,"59","67","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-11","0.00",,,"60","77","51"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-12","0.00",,,"67","76","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-13","0.00",,,"60","68","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-14","0.00",,,"58","64","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-15","0.00",,,"59","66","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-16","0.00",,,"60","68","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-17","0.00",,,"59","65","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-18","0.00",,,"58","63","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-19","0.00",,,"57","63","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-20","0.00",,,"57","62","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-21","0.00",,,"58","66","52"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-22","0.00",,,"57","63","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-23","0.00",,,"57","63","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-24","0.00",,,"57","63","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-25","0.00",,,"58","67","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-26","0.00",,,"58","65","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-27","0.00",,,"61","77","52"
